"STN
Code",Name of Monitoring Location,Type Water Body,State Name,TemperatureC_mean,Dissolved Oxygen_mg/L_mean,pH_mean,Conductivity_mhos/cm_mean,BOD_mg/L_mean,Nitrate_N_mg/L_mean,Fecal_Coliform_MPN/100ml_mean,Total_Coliform_MPN/100ml_mean
2943,"LODHA TALAB, BANSWARA- DUNGARPUR ROAD, BANSWARA,
RAJASTHAN",LAKE,RAJASTHAN,25,4.35,8.15,818.5,3.1,4.83,305,670
1716,"NAKKI LAKE, MT. ABU, RAJASTHAN",LAKE,RAJASTHAN,19.75,5.55,7.95,325,2.35,2.605,107,165
4795,"NELA TALAB, SECTOR-14 HIRAN MARG, UDAIPUR",LAKE,RAJASTHAN,24,5.25,8.25,807,2.95,2.655,157.5,305
1285,"PICHOLA LAKE AT UDAIPUR (WATER INTAKE POINT), RAJASTHAN",LAKE,RAJASTHAN,25.5,6,8,523.5,1.9,3.57,31,57
1414,"PUSHKAR LAKE, RAJASTHAN",LAKE,RAJASTHAN,24,6.05,7.65,305,3.35,3.31,58,121.5
2938,"RAJSAMAND LAKE , RAJSAMAND- POINT
NO. 1, RAJSAMAND, RAJASTHAN",LAKE,RAJASTHAN,21.5,6.45,8.55,625,2.05,2.325,86.5,166.5
2939,"RAJSAMAND LAKE , RAJSAMAND- POINT
NO. 2, RAJSAMAND, RAJASTHAN",LAKE,RAJASTHAN,22,5.9,8.8,610.5,1.9,3.055,157.5,290
2937,"SILISERH LAKE, ALWAR, RAJASTHAN",LAKE,RAJASTHAN,25,5.9,8,226,1.35,1.855,44.5,85
4177,SWAROOP SAGAR LAKE,LAKE,RAJASTHAN,23.5,4.9,8.45,625,1.7,2.785,48.5,165
1286,"UDAISAGAR LAKE AT UDAIPUR (INTAKE
PT.) RAJASTHAN",LAKE,RAJASTHAN,24,5.3,7.9,1566.5,2.25,5.31,121.5,195
4179,"BADI KA TALAB, UDAIPUR",POND,RAJASTHAN,25,7.5,7.8,456,1.9,2.625,43.5,92
1420,"KODAI KANAL LAKE, TAMILNADU",LAKE,TAMIL NADU,22.5,6.5,7.1,121.5,2.5,0.635,25,60.5
3008,"POONDI LAKE AT THIRUVALLUR, TAMILNADU",LAKE,TAMIL NADU,33,7.45,7.55,610,2.5,0.42,2,35
3010,"PORUR LAKE AT THIRUVALLUR, TAMILNADU",LAKE,TAMIL NADU,32,6.5,7.65,1169.5,3,0.47,40,117
3011,"PULICATE LAKE AT THIRUVALLUR, TAMILNADU",LAKE,TAMIL NADU,30.5,5.95,7.55,33865,3,0.91,23.5,117
3009,"REDD HILLS AT THIRUVALLUR, TAMILNADU",LAKE,TAMIL NADU,29,6.1,7.3,546,3,0.47,11,101
1421,"UDHAGAMADALEM LAKE (OOTY),
TAMILNADU",LAKE,TAMIL NADU,24,6.45,6.6,415.5,2.75,0.325,79,225
3007,"VEERANAM LAKE AT CUDDALORE,
TAMILNADU",LAKE,TAMIL NADU,26.5,6.2,7.35,516.5,2,0.57,34.5,89
1452,"YERCAUD LAKE, SALEM, TAMILNADU",LAKE,TAMIL NADU,25,6.15,6.9,306.5,1.6,0.325,75.5,185
4823,"OVER HEAD TANK AT TIRUR VILLAGE, TIRUVALLUR TALUK, TIRUVALLUR
PANCHAYAT UN",TANK,TAMIL NADU,32,5.85,7.1,1489,3,0.75,11,56
5052,"BAKSHI KUNTA (VEMANA COLONY PARK), CHANDANAGAR,
SERILINGAMPALLY, RR",LAKE,TELANGANA,22,2.35,7.5,1055,9.5,5.4,12.5,310
4676,"BANDA CHERUVU, MALKAJIGIRI (V),
MALKAJIGIRI (NEW MANDAL)",LAKE,TELANGANA,28.5,0.8,7.6,1412.5,10.9,13.7,36,335
5048,"BANDAM CHERUVU, GAJULARAMARAM, QUTUBULLAPUR, MEDCHAL –
MALKAGIRI",LAKE,TELANGANA,27,2.9,7.65,804.5,6,4.7,38.5,340
4682,"BANDAM CHERUVU, HANAMKONDA",LAKE,TELANGANA,28,2.4,7.8,1056,7.7,19.35,22.5,285
5040,"BANDLAGUDA CHERUVU, BANDALGUDA
UPPAL, MEDCHAL - MALKAGIRI",LAKE,TELANGANA,30,0.3,7.45,1257,11.2,9.15,53.5,410
4690,"BANJARA KUNTA (SINGADI KUNTA(,
SHAIKPET",LAKE,TELANGANA,26.5,2.2,7.85,939.5,4.7,8.9,23,355
3074,"BANJARA LAKE, BANJARA HILLS, RANGA REDDY",LAKE,TELANGANA,24,0.3,7.3,1014.5,12,6,40.5,375
5035,"BATHAR KUNTA, SHAIKPET, HYDERABAD",LAKE,TELANGANA,26.5,1.15,7.8,1180,8,8.5,42,600
4684,"CAMPUS LAKE, ICRISAT",LAKE,TELANGANA,24.5,6.3,6.95,567.5,2.55,5.595,13.5,175
5060,"CHAKALAVANI CHERUVU, LINGAMPALLY, SERILINGAMPALLY, RR",LAKE,TELANGANA,25,1.6,7.65,1276,12,11.45,26.5,390
5051,"CHINNA BANDAM, SURARAM, QUTUBULLAPUR, MEDCHAL – MALKAGIRI",LAKE,TELANGANA,28,2.1,7.65,1517,8.05,7.45,37,355
4668,"CHINNARAYAN CHERUVU, ALWAL (V)",LAKE,TELANGANA,29,1.25,7.7,1406,9,10.1,42,410
5046,"CHINTAL CHERUVU, GAJULARAMARAM, QUTUBULLAPUR, MEDCHAL –
MALKAGIRI",LAKE,TELANGANA,28.5,3.6,7.9,474.5,4.05,2.15,17.5,284
5039,"DMRL LAKE, KANCHANBAGH,
BANDLAGUDA, HYDERABAD",LAKE,TELANGANA,26,2.05,7.65,1434.5,10.6,8.55,46,317
3070,"FOX SAGAR, JEEDIMETLA, RANGA REDDY",LAKE,TELANGANA,27.5,2,8.05,1259,4.5,7.5,30.5,410
5059,"GOPI CHERUVU, LINGAMPALLY,
SERILINGAMPALLY, RR",LAKE,TELANGANA,26,2.2,7.75,1161,6.5,6.45,22,380
5062,"GURUNATH CHERUVU, MIYAPUR, SERILINGAMPALLY, RR",LAKE,TELANGANA,25,2.1,7.75,1071.5,9,22.6,20.5,355
3073,"HASMATHPET LAKE, HASMATHPET, RANGA REDDY",LAKE,TELANGANA,25.5,0.3,7.75,1323,8,4.55,52.5,485
1789,"HIMAYAT SAGAR LAKE , R.R.DIST.",LAKE,TELANGANA,24.5,5.55,7.7,457,2.35,0.75,3,56
4679,"HUDA PARK LAKE/ BUMRUKH KHAN
DOWLA",LAKE,TELANGANA,31.5,0.6,7.7,2483.5,14,17.1,73,635
1391,"HUSSAIN SAGAR LAKE, BUDAMERU",LAKE,TELANGANA,27.6,1.35,7.7,1227,6.9,8.2,79.5,675
4686,"ICRISAT LAKE, ICRISAT",LAKE,TELANGANA,25,6.35,6.9,654,2.85,5.13,17.5,200
4699,"KAPRAI CHERUVU, SAHEBNAGAR (V),
HAYATHNAGAR",LAKE,TELANGANA,27.5,3.95,7.75,524.5,3.05,1.35,21,195
5054,"KOMATI KUNTA, GOPANPALLY,
SERILINGAMPALLY, RR",LAKE,TELANGANA,25,3.45,7.8,664.5,4.55,5,15.5,231.5
4705,"KOTHA CHERUVU (ALWAL CHERUVU), ALWAL (V)",LAKE,TELANGANA,28,0.6,7.9,1605.5,10,17.1,42,445
5032,"KOTHA CHERUVU, SHAIKPET, HYDERABAD",LAKE,TELANGANA,26.5,2.2,7.85,1117.5,6.5,6.9,30,280
5057,"KUDI KUNTA (GAUTAMI LAKE), KONDAPUR, SERILINGAMPALLY, RR",LAKE,TELANGANA,26.5,0.3,7.25,1407,11.5,12.65,28.5,445
4235,LAKE KAMUNI ( SHAMSHABAD LAKE),LAKE,TELANGANA,31.5,3.1,7.7,1003,3.95,5.15,22,355
4680,"LAKNAVARAM CHERUVU, MULUGU (V)",LAKE,TELANGANA,28.5,5.8,7.65,167.5,2.35,0.55,2,18
3071,"LANGARHOUSE LAKE, HYDERABAD",LAKE,TELANGANA,25,0.65,7.7,1195,7.1,7.8,58.5,410
2340,"LAXMINARAYANA CHERUVU AT
EDULABAD, RANGAREDDY",LAKE,TELANGANA,25.5,4.25,7.9,1415,3.9,2.45,12.5,250
4677,"LINGAM CHERUVU, SURARAM (V),
QUTHUBULLAPUR",LAKE,TELANGANA,28,0.3,7.4,1609.5,9.1,11.1,40,675
4701,"LINGAM KUNTA, CHANDANAGAR (V)
SERLINGAMPALLY",LAKE,TELANGANA,23.5,1.75,7.7,1150,7,7.5,28.5,340
4670,"MADDELLA KUNTA/ BAIRAMALGUDA
CHERUVU",LAKE,TELANGANA,31.5,4.3,7.35,939,3.75,3.15,27.5,355
5047,"MAHABOOB KUNTA, SURARAM, QUTUBULLAPUR, MEDCHAL –
MALKAGIRI",LAKE,TELANGANA,28,2.95,7.25,712.5,5.05,6.7,22,375
4698,"MANNEVARI KUNTA, MACHABOLLARAM
(V) ALWAL",LAKE,TELANGANA,28.5,0.3,7.85,1732,8.5,12.5,55,485
5049,"MEDDELA KUNTA, GAJULARAMARAM, QUTUBULLAPUR, MEDCHAL –
MALKAGIRI",LAKE,TELANGANA,27.5,2.75,7.7,869.5,7,11.7,24.5,302
4672,"MEDI KUNTA (WIPRO LAKE),
NANAKRAMGUDA",LAKE,TELANGANA,25.5,2.35,7.8,919.5,6.6,8.7,44,390
4673,"MEEDI KUNTA (BK ENCLAVE LAKE), MAQTA MAHBOOBPET,
(MADEENAGUDA)",LAKE,TELANGANA,23.5,1.65,7.55,963,7.1,6.4,28.5,340
4674,"MEEDI KUNTA, HAFEEZPET (V)",LAKE,TELANGANA,26.5,2.9,7.9,924,6.4,4.8,42,355
2341,"MIRALAM LAKE NEAR ZOO PARK, RANGAREDDY",LAKE,TELANGANA,27.5,1.6,7.65,1287.5,5.1,3.8,44,355
5029,"MOHINI CHERUVU, AMBERPET, HYDERABAD",LAKE,TELANGANA,24,2.15,7.85,1277,10.05,5.8,36,254.5
5045,"MOTHKULA KUNTA, MACHABOLLARAM, ALWAL, MEDCHAL - MALKAGIRI",LAKE,TELANGANA,34,1.7,7.5,1431,7,9.45,39,309.5
5043,"MYSAMMA CHERUVU, KUKATPALLY, BALANAGAR, MEDCHAL - MALKAGIRI",LAKE,TELANGANA,27.5,1.15,7.55,1184,9,6.45,42,675
4691,"NAGOLE CHERUVU, UPPAL (V)",LAKE,TELANGANA,30,1.15,7.65,1275.5,8.9,7.25,50.5,390
5063,"NANAKRAM KUNTA, NANAKRAMGUDA,
SERILINGAMPALLY, RR",LAKE,TELANGANA,27.5,2.05,7.75,690.5,17.05,4.1,12.5,355
4688,NARINJA LAKE,LAKE,TELANGANA,24.5,6.5,7.1,540,2.55,5.625,7.5,31
5030,"NAYA QUILA TALAB, GOLKONDA,
HYDERABAD",LAKE,TELANGANA,27,1.8,8.2,1234,11.65,8.35,40,305
5056,"NAYANAMMA KUNTA (BASPALLI CHERUVU), HAFEEZPET,
SERILINGAMPALLY, RR",LAKE,TELANGANA,23.5,2.15,7.85,1038,6.5,8,22,345
4229,NEKNAMPUR LAKE,LAKE,TELANGANA,30.5,1.5,7.85,1754,9,19.4,50.5,530
2342,"NOOR MD. KUNTA, KATTEDAN,
RANGAREDDY",LAKE,TELANGANA,27,0.3,7.55,1910,14.1,16.35,57.5,485
4696,"PARKI CHERUVU, KUKATPALLY (V),
BALANAGAR",LAKE,TELANGANA,27,0.3,7.65,1441,9,14.5,35.5,375
4678,"PATEL CHERUVU, NACHARAM (V),
UPPAL (NEW MANDAL)",LAKE,TELANGANA,24.5,0.3,7.65,1469,14.5,15.9,38.5,390
4693,"PATEL CHERUVU, UPPAL (V)",LAKE,TELANGANA,25.5,1.45,7.4,1126,9.3,6.8,47,320
5041,"PATHULGUDA LAKE, PATHALGUDA, UPPAL, MEDCHAL - MALKAGIRI",LAKE,TELANGANA,29.5,1.25,7.85,1314.5,13,6.2,49,410
4702,"PEDDA CHERUVU - KHAJA GUDA, KHJAGUDA (V), SERLINGAMPALLY 9NEW MANDAL)",LAKE,TELANGANA,31,3.35,7.75,1473.5,13.5,10.05,145,915
4669,"PEDDA CHERUVU, GANGARAM (V) SERLINGAMPALLY (NEW MANDAL)",LAKE,TELANGANA,24,1.85,7.55,1531.5,8.75,8,55.5,355
4683,"PEDDA CHERUVU, MADIKONDA",LAKE,TELANGANA,28.5,4.6,7.75,636.5,5.05,1.7,16.5,188
5061,"PEDDAKUDI CHERUVU, MAQTA
MAHBOOBPET, SERILINGAMPALLY, RR",LAKE,TELANGANA,23.5,1.75,7.7,1060.5,9.5,9.75,23,350
4681,"PHAKAL CHERUVU, NARSAMPET",LAKE,TELANGANA,27.5,5.65,8,297,2.45,0.55,2,24.5
5053,"RAMAMMA KUNTA (DR. YSR TOURISM COLLEGE), GACHIBOWLI,
SERILINGAMPALLY, RR",LAKE,TELANGANA,32.5,1.35,7.85,677.5,4.5,7,20.5,355
3068,"RAMAPPA LAKE, WARANGAL",LAKE,TELANGANA,27,5.7,7.95,272,2.2,0.75,3,67.5
4687,"RED LAKE, ICRISAT",LAKE,TELANGANA,25,6.05,7.1,810,3.7,7.675,22.5,260
5058,"REGULA KUNTA, MIYAPUR
SERILINGAMPALLY, RR",LAKE,TELANGANA,26,2.25,7.7,782,5.3,5.1,15,310
3072,"SAFILGUDA LAKE, RANGA REDDY",LAKE,TELANGANA,25.5,0.95,7.7,1507.5,9.5,7.1,50.5,445
5038,"SALKAM CHERUVU, BANDLAGUDA, HYDERABAD",LAKE,TELANGANA,25.5,1.25,7.7,1925.5,19.5,9.45,40,445
1788,"SAROORNAGAR , RANGA REDDY DIST.",LAKE,TELANGANA,29.5,0.75,7.75,1240.5,9.9,6.3,27.5,410
5033,"SHAHATAM CHERUVU, SHAIKPET,
HYDERABAD",LAKE,TELANGANA,26,0.3,7.55,1187.5,13,6.7,37.5,340
3069,"SHAMEERPET LAKE, SHAMEERPET,
RANGA REDDY",LAKE,TELANGANA,25.5,5.65,7.9,560,2.45,1.35,7,153.5
5034,"SHIKARI KUNTA, SHAIKPET, HYDERABAD",LAKE,TELANGANA,27,3.55,7.95,994,4.55,5.9,38.5,286.5
5044,"SUDALAVANI KUNTA (SUNNAM CHERUVU), ALLAHPUR, BALANAGAR,
MEDCHAL - MALKAGIRI",LAKE,TELANGANA,34.5,0.65,7.45,1268,9.5,7.25,42,485
4685,SURISIGAL LAKE ICRISAT,LAKE,TELANGANA,24.5,6.25,7.15,628,2.75,5.63,19.5,205
4667,"SURRAM CHERUVU (PALLE CHERUVU), BANDLAGUDA (V), BANDLAGUDA (NEW
MANDAL)",LAKE,TELANGANA,28,0.65,7.4,1668.5,11,11.75,50,445
5037,"TIRUMALAGIRI TANK, TIRUMALAGIRI, HYDERABAD",LAKE,TELANGANA,33.5,0.3,7.75,1423.5,9,7.25,27,485
4234,"UMDA SAGAR LAKE, SHAMSHABAD",LAKE,TELANGANA,31,2,7.65,916.5,5.05,3.85,32,275
5050,"VENNA CHERUVU, JEEDIMETLA, QUTUBULLAPUR, MEDCHAL –
MALKAGIRI",LAKE,TELANGANA,28.5,1.7,7.45,1458,10.5,29.9,36,335
5042,"YELLAMMA CHERUVU, KUKATPALLY, MEDCHAL - MALKAGIRI",LAKE,TELANGANA,27.5,1.65,7.55,1638.5,12.9,18.8,45,570
5031,"YERRA KUNTA, SHAIKPET, HYDERABAD",LAKE,TELANGANA,25.5,2.05,7.6,1046,11.5,4.75,29.5,570
3076,"AMBER CHERUVU, KUKATPALLY, RANGA
REDDY",POND,TELANGANA,27,0.3,7.75,1212.5,9.9,4.2,56,390
2347,"ASANI KUNTA, KAJIPALLY, MEDAK",POND,TELANGANA,21.5,0.8,6.85,10025,190.5,35.37,10,355
2346,"BHADRAKALI CHERUVU, BHADRAKALI TEMPLE, WARANGAL",POND,TELANGANA,27.5,5,8.05,719,3.05,1.5,14.5,115.5
2357,DURGAM CHERUVU,POND,TELANGANA,28,2.8,7.9,824.5,4.2,3.1,32,335
3077,"KAPRA CHERUVU, KAPRA, RANGA
REDDY",POND,TELANGANA,25,1.9,7.65,1417,5.6,2.8,34,375
4675,"LOTUS POND, HAKIMPET (V), SHAIK PET
(NEW MANDAL)",POND,TELANGANA,30,4.05,7.75,731,3.1,5.9,22.5,275
2344,"NALLA CHERUVU, RANGAREDDY",POND,TELANGANA,27,0.75,7.85,1399.5,8,2.55,34,485
4665,"OUTLET OF KTPP ASH POND JOINING TO
MORANCHA VAGU, CHELPUR, GHANPUR",POND,TELANGANA,27.5,4.2,7.8,781,3,1.05,3,70
2359,PEDDA CHERUVU,POND,TELANGANA,28,0.75,7.85,1414,9,14.2,48,675
4236,"PEDDA CHERUVU (NACHARAM
CHERUVU)",POND,TELANGANA,24.5,1.5,7.65,1374.5,5,19.5,50.5,485
3078,"PRAGATHINAGAR CHERUVU, KUKATPALLY, RANGA REDDY",POND,TELANGANA,27,1.05,7.6,1262.5,9.6,5.3,25.5,445
3075,"RANGADHAMUNI CHERUVU, RANGA REDDY",POND,TELANGANA,26,1.25,7.8,1153.5,7.5,4.35,37,445
2345,"SAI CHERUVU, NEAR TANNERY INDUSTRIES, DESAIPET, WARANGAL",POND,TELANGANA,27.5,1.65,8,4250,18,7.55,16.5,235
4238,"AMEENPUR CHERUVU, AMEENPUR (V & M) SANGAREDDY DISTRICT",TANK,TELANGANA,25,5.5,7,1172.5,4.6,11.15,8,124.5
1464,BIBINAGAR TANK,TANK,TELANGANA,20,5.6,7.3,801,3.35,8.615,8,42.5
4703,"BULBUL KUNTA, LAXMI NAGAR (V),
RAJENDRANAGAR",TANK,TELANGANA,29.5,0.3,7.7,1769.5,13.2,12.9,54.5,635
3085,"CHINNA WADDEPALLY TANK,
WARANGAL",TANK,TELANGANA,28,2.45,7.7,1030.5,10.9,6.7,30,325
4241,"CHITKUL TANK, CHITKUL (V) PATANCHERU (M) SANGAREDDY
DISTRICT",TANK,TELANGANA,26,5.45,7.1,1241,4.6,12.615,7.5,94.5
